frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
43840,19934,-10,16685,12,16685.4786684782,11.9415793913274
43860,1631,15,16685,12,16684.6570672258,11.6619351919771
43880,-21378,-9,16687,11,16686.5710562413,11.4341055413727
43900,18327,-10,16685,11,16685.1360913455,11.1203685935427
43920,4206,8,16685,11,16684.8653711564,10.9651436379101
43940,-22176,2,16687,11,16686.5990529191,10.713920194658
43960,16496,-4,16685,10,16684.8877754715,10.3815985228974
43980,6730,18,16685,10,16684.9501640492,10.0840099097222
44000,-22735,-2,16687,10,16686.5816651355,9.87242846264282
44020,14488,-3,16685,10,16684.6599509609,9.63972595078563
44040,9193,4,16685,9,16685.2166310085,9.26528245572551
44060,-23043,0,16686,9,16686.4894892867,8.9256914998223
44080,12308,-16,16684,9,16684.448739733,8.72514606342639
44100,11557,10,16685,8,16685.4335442277,8.29609518463355
44120,-23103,11,16686,8,16686.4825593683,7.92920642013594
44140,9983,-7,16684,8,16684.2986316573,7.72431479566311
44160,13786,3,16686,8,16685.5973693854,7.63332025562926
44180,-22889,-3,16686,7,16686.1401749326,7.09044526546112
44200,7585,-10,16684,7,16684.2887408949,6.92011123126825
44220,15864,11,16686,7,16685.8015704985,6.64468625811257
44240,-22446,-3,16686,6,16686.184992546,6.26720288735334
44260,5087,-1,16684,6,16684.2454397421,6.02505348783312
44280,17764,2,16686,6,16686.1945479692,5.89810119074351
44300,-21746,7,16686,6,16685.8312092199,5.56015136512712
44320,2541,0,16684,5,16684.3980283485,5.42936712184302
44340,19440,-2,16686,5,16686.3775612533,5.38487011652788
44360,-20798,-6,16686,5,16685.6758139552,5.18474606869758
44380,-7,5,16685,5,16684.5660090736,5.08893081077696
44400,20894,0,16686,5,16686.4909003695,5.01866632869231
44420,-19634,7,16685,5,16685.4774787565,5.08132110958853
44440,-2537,0,16684,5,16684.4489968757,5.09992915085592
44460,22098,1,16687,5,16686.5973867988,5.03653643079746
44480,-18243,1,16685,5,16685.2158408284,5.25065100130451
44500,-5021,6,16685,5,16684.6034570146,5.12952353720597
44520,23025,0,16687,5,16686.6065602135,5.43262622811242
44540,-16628,-10,16685,6,16685.1135394025,5.59713148491037
44560,-7425,6,16685,6,16684.8874040709,5.63993243670746
44580,23662,3,16687,6,16686.5941211285,5.96134193418311
