frequency_hz,direct_i_int16,direct_q_int16,filtered_i_int16,filtered_q_int16,direct_iq_magnitude,filtered_iq_magnitude
55220,4267,-10995,-3,-6,11793.9524333448,6.70820393249937
55240,4265,-10997,-4,-6,11795.0936410018,7.21110255092798
55260,4268,-10998,-4,-6,11797.1110022751,7.21110255092798
55280,4267,-10995,-4,-6,11793.9524333448,7.21110255092798
55300,4265,-10997,-4,-5,11795.0936410018,6.40312423743285
55320,4268,-10997,-4,-5,11796.1787456786,6.40312423743285
55340,4266,-10995,-4,-5,11793.5906745995,6.40312423743285
55360,4265,-10998,-4,-5,11796.0259833556,6.40312423743285
55380,4268,-10997,-4,-5,11796.1787456786,6.40312423743285
55400,4266,-10995,-4,-5,11793.5906745995,6.40312423743285
55420,4266,-10998,-5,-4,11796.3875826458,6.40312423743285
55440,4268,-10997,-5,-4,11796.1787456786,6.40312423743285
55460,4265,-10995,-5,-4,11793.2289895516,6.40312423743285
55480,4266,-10998,-5,-4,11796.3875826458,6.40312423743285
55500,4268,-10996,-5,-3,11795.2465001796,5.8309518948453
55520,4265,-10996,-5,-3,11794.1613097329,5.8309518948453
55540,4266,-10998,-5,-3,11796.3875826458,5.8309518948453
55560,4268,-10996,-5,-3,11795.2465001796,5.8309518948453
55580,4265,-10996,-5,-3,11794.1613097329,5.8309518948453
55600,4267,-10998,-5,-2,11796.7492556212,5.3851648071345
55620,4268,-10996,-4,-2,11795.2465001796,4.47213595499958
55640,4265,-10996,-4,-2,11794.1613097329,4.47213595499958
55660,4267,-10998,-4,-2,11796.7492556212,4.47213595499958
55680,4267,-10995,-4,-2,11793.9524333448,4.47213595499958
55700,4265,-10996,-4,-1,11794.1613097329,4.12310562561766
55720,4267,-10998,-4,-1,11796.7492556212,4.12310562561766
55740,4267,-10995,-4,-1,11793.9524333448,4.12310562561766
55760,4265,-10997,-3,-1,11795.0936410018,3.16227766016838
55780,4267,-10998,-3,-1,11796.7492556212,3.16227766016838
55800,4267,-10995,-3,-1,11793.9524333448,3.16227766016838
55820,4265,-10997,-3,0,11795.0936410018,3
55840,4267,-10997,-3,0,11795.8169704349,3
55860,4266,-10995,-3,0,11793.5906745995,3
55880,4265,-10997,-2,0,11795.0936410018,2
55900,4268,-10997,-2,0,11796.1787456786,2
55920,4266,-10995,-2,0,11793.5906745995,2
55940,4265,-10998,-2,0,11796.0259833556,2
55960,4268,-10997,-2,0,11796.1787456786,2
55980,4266,-10995,-1,0,11793.5906745995,1
56000,4266,-10998,-1,0,11796.3875826458,1
56020,4268,-10997,-1,0,11796.1787456786,1
56040,4265,-10995,-1,0,11793.2289895516,1
56060,4266,-10998,0,0,11796.3875826458,0
56080,4268,-10996,0,0,11795.2465001796,0
56100,4265,-10996,0,0,11794.1613097329,0
56120,4266,-10998,0,0,11796.3875826458,0
56140,4268,-10996,1,0,11795.2465001796,1
56160,4265,-10996,1,0,11794.1613097329,1
56180,4266,-10998,1,0,11796.3875826458,1
56200,4268,-10996,1,-1,11795.2465001796,1.4142135623731
56220,4265,-10996,1,-1,11794.1613097329,1.4142135623731
56240,4267,-10998,1,-1,11796.7492556212,1.4142135623731
56260,4267,-10996,2,-1,11794.8846963419,2.23606797749979
56280,4265,-10996,2,-1,11794.1613097329,2.23606797749979
56300,4267,-10998,2,-1,11796.7492556212,2.23606797749979
56320,4267,-10995,2,-2,11793.9524333448,2.82842712474619
56340,4265,-10997,2,-2,11795.0936410018,2.82842712474619
56360,4267,-10998,2,-2,11796.7492556212,2.82842712474619
56380,4267,-10995,2,-2,11793.9524333448,2.82842712474619
